structure,basis set,PySCF_Corr,Psi4_Corr,Abs. Dev.,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
FH,cc-pVDZ,-0.209062991,-0.209062948,4.38029E-08,0.016130198621176203,0.016130255610994723,0.18617565392259966,0.18617557203012589
CC,aug-cc-pVDZ,-0.32087116,-0.320871212,5.17224E-08,0.10988052131638193,0.10988031821704243,0.5195998969724694,0.5196002027826166
OO,aug-cc-pVDZ,-0.400941389,-0.400941326,6.29858E-08,0.055004448,0.055004396,0.3455990764418161,0.34559876390331723
BN,aug-cc-pVDZ,-0.29691589,-0.296915826,6.37298E-08,0.2360706081980196,0.23606913013102257,0.45798062766023784,0.4579801186952996
NN,STO-3G,-0.153806659,-0.153806593,6.5465E-08,0.010212764035910305,0.010212775850283216,0.2699162,0.26991590766215834
FN,aug-cc-pVDZ,-0.363511171,-0.363511102,6.90023E-08,0.090584388,0.090584046,0.35077782377686484,0.35077549906770655
BB,STO-3G,-0.183195149,-0.183195069,8.02301E-08,0.12492368604364824,0.12492366743407463,0.5823700621255548,0.5823706933103088
FLi,STO-3G,-0.054867599,-0.054867514,8.44218E-08,0.11948916565231461,0.11949084232781046,0.19139416162442216,0.19139431919277677
CO,STO-3G,-0.131258902,-0.131258815,8.77058E-08,0.066195223,0.066194596,0.2477526374902223,0.2477524034239267
FF,cc-pVDZ,-0.404403052,-0.404402964,8.78836E-08,0.034555039143538885,0.034554608676189376,0.29868191357731855,0.29868172334144283
BH,cc-pVDZ,-0.089155122,-0.089155019,1.02774E-07,0.026464289322685724,0.026463381633601003,0.30032192316752565,0.3003213656350344
OO,cc-pVDZ,-0.381978212,-0.381978106,1.0583E-07,0.043005301,0.043005281,0.338134445,0.33813411186505754
BeC,STO-3G,-0.14422149,-0.144221368,1.22011E-07,0.1700093618341823,0.17000802535467247,0.5154485733539212,0.5154453972712165
BB,cc-pVDZ,-0.193752016,-0.193752146,1.30067E-07,0.09649011,0.096490151,0.5160843221217385,0.5160859089993571
BN,STO-3G,-0.211871556,-0.211871399,1.57577E-07,0.21972399573466567,0.21972768777434556,0.5093449687509092,0.509344598
BN,cc-pVDZ,-0.290561728,-0.290562006,2.78128E-07,0.23394796362089157,0.2339447496356897,0.4582818939398174,0.45828303543107174
HN,STO-3G,-0.061979054,-0.061979393,3.38504E-07,0.008506866,0.008506788,1.0066036813887003,1.0066208556078655
CC,STO-3G,-0.253486257,-0.253485822,4.35196E-07,0.1263537628872808,0.12635384550265097,0.5740244966203178,0.5740226928434123
FN,cc-pVDZ,-0.341230602,-0.341229957,6.44759E-07,0.08768346,0.087680606,0.3445825006850655,0.3445694424431563
BeBe,cc-pVDZ,-0.097855499,-0.097862191,6.69187E-06,0.051259099,0.051244094,0.4631304690066644,0.46315316026228437
FLi,aug-cc-pVDZ,-0.237229054,-0.237236644,7.59008E-06,0.052749816,0.052717035,0.20769452330673888,0.2076892724444598
BeO,aug-cc-pVDZ,-0.255854528,-0.255844549,9.9783E-06,0.13243273199160682,0.13241444841036867,0.288331866,0.28834133596937583
HLi,aug-cc-pVDZ,-0.037112504,-0.037095602,1.69027E-05,0.017419481741666704,0.017462725,0.17528875064476435,0.17524980395504255
BeBe,aug-cc-pVDZ,-0.09816229,-0.098184784,2.24939E-05,0.055424609,0.05545073,0.4625775690140052,0.4626066963896709
BeC,cc-pVDZ,-0.180396841,-0.180372026,2.48148E-05,0.15776974889039388,0.15783296230251762,0.45246920379327504,0.45248830346553265
LiLi,aug-cc-pVDZ,-0.031564382,-0.031532019,3.23629E-05,0.020759274,0.020619858236446742,0.32166440788210804,0.321589096
BeO,cc-pVDZ,-0.241292593,-0.241256298,3.62951E-05,0.14787918247704454,0.14791562744408016,0.2855289567897753,0.28554957802726844
BeC,aug-cc-pVDZ,-0.183928841,-0.183885359,4.34824E-05,0.15655951103257257,0.15665157992971865,0.4499108126490106,0.44990569892595894
LiLi,cc-pVDZ,-0.031382257,-0.031432106,4.98486E-05,0.01802957,0.017701834769186218,0.3212902082093222,0.32189009991913886
BLi,aug-cc-pVDZ,-0.097178786,-0.097127228,5.15582E-05,0.07593873,0.076142162,0.3916485921745643,0.3915905300522991
