,structure,basis set,PySCF_Corr,Psi4_Corr,PySCF_norm_t1,Psi4_norm_t1,PySCF_norm_t2,Psi4_norm_t2
34,FH,cc-pVDZ,-0.2090629941403514,-0.20906294761801383,0.01613019966040164,0.016130255643162523,0.18617566483616768,0.016130255643162523
35,FH,aug-cc-pVDZ,-0.22844435119058099,-0.22844432718151902,0.03547284022658005,0.035472879015286334,0.20111927479413866,0.035472879015286334
36,BeO,STO-3G,-0.13312180511493885,-0.13312176255008076,0.23044094765947817,0.23043984039738122,0.3330493447600844,0.23043984039738122
37,BeO,cc-pVDZ,-0.24129253139936926,-0.24125629760143902,0.14787815560035078,0.1479156216639779,0.285528558288706,0.1479156216639779
38,BeO,aug-cc-pVDZ,-0.2558545275769615,-0.25584454951536206,0.13243272500261147,0.1324144562888998,0.28833186591182314,0.1324144562888998
39,LiLi,STO-3G,-0.02828473439029547,-0.028284720801417817,0.04955398414359993,0.04955287443114374,0.30692156393535525,0.04955287443114374
40,LiLi,cc-pVDZ,-0.031382257217915474,-0.03143210578867598,0.01802956955564631,0.017701835303147655,0.32129020820932164,0.017701835303147655
41,LiLi,aug-cc-pVDZ,-0.03156438230687615,-0.031532019431534,0.020759274157872647,0.020619858927258313,0.3216644078821069,0.020619858927258313
42,CO,STO-3G,-0.1312589023889748,-0.1312588146770186,0.06619522295977275,0.06619459599940576,0.24775263754837393,0.06619459599940576
43,CO,cc-pVDZ,-0.2983724180843621,-0.29837240010848326,0.06145802570068824,0.06145659650988423,0.2955261643075746,0.06145659650988423
44,CO,aug-cc-pVDZ,-0.31087948370359975,-0.3108794488941905,0.06054679214253314,0.060544756494593066,0.303696287823097,0.060544756494593066
45,CC,STO-3G,-0.2534862570807724,-0.25348582190304747,0.12635376285876002,0.12635384550262807,0.5740244965130149,0.12635384550262807
46,CC,cc-pVDZ,-0.3160144643951762,-0.3160144901577303,0.10858771111121023,0.10858696460350754,0.5191255612529098,0.10858696460350754
47,CC,aug-cc-pVDZ,-0.3208711596493875,-0.32087121198909896,0.10988052302702489,0.10988031801446829,0.5195998951490747,0.10988031801446829
48,BeLi,STO-3G,,,,,,
49,BeLi,cc-pVDZ,,,,,,
50,BeLi,aug-cc-pVDZ,,,,,,
51,NN,STO-3G,-0.1538066025828511,-0.15380659313185885,0.010212771502035967,0.010212775850391717,0.2699159676501967,0.010212775850391717
52,NN,cc-pVDZ,-0.3136793212204344,-0.3136793490519426,0.03726714631892912,0.037267210249407476,0.30902287826064717,0.037267210249407476
