Name,L,Basis,Injection,Energy_NoRecovery,SubspaceDim_NoRecovery
ammonia,4,cc-pVDZ,ML,-56.2067282938386,3136
ammonia,4,cc-pVDZ,ML_exact,-56.2067282938386,3136
ammonia,4,cc-pVDZ,MP2,-56.2067282938386,3136
ammonia,4,cc-pVDZ,random,-56.2067282938386,3136
ammonia,4,cc-pVDZ,zeroes,-56.20589912895954,961
ammonia,5,STO-3G,CCSD,-55.51992920362211,3136
ammonia,5,STO-3G,ML,-55.51992920362211,3136
ammonia,5,STO-3G,ML_exact,-55.51992920362211,3136
ammonia,5,STO-3G,MP2,-55.51992920362211,3136
ammonia,5,STO-3G,random,-55.51992920362211,3136
ammonia,5,STO-3G,zeroes,-55.51533933435261,961
ammonia,5,aug-cc-pVDZ,CCSD,-56.20530887835702,3136
ammonia,5,aug-cc-pVDZ,ML,-56.20530887835702,3136
ammonia,5,aug-cc-pVDZ,ML_exact,-56.20530887835702,3136
ammonia,5,aug-cc-pVDZ,MP2,-56.20530887835702,3136
ammonia,5,aug-cc-pVDZ,random,-56.20530887835702,3136
ammonia,5,aug-cc-pVDZ,zeroes,-56.20530884179211,1089
ammonia,5,cc-pVDZ,CCSD,-56.2067282938386,3136
ammonia,5,cc-pVDZ,ML,-56.2067282938386,3136
ammonia,5,cc-pVDZ,ML_exact,-56.2067282938386,3136
ammonia,5,cc-pVDZ,MP2,-56.2067282938386,3136
ammonia,5,cc-pVDZ,random,-56.2067282938386,3136
ammonia,5,cc-pVDZ,zeroes,-56.20583965160355,1225
but-1-yne,1,STO-3G,CCSD,-153.0252075894808,59049
but-1-yne,1,STO-3G,ML,-153.0248949590479,53361
but-1-yne,1,STO-3G,ML_exact,-153.0249192427511,95481
but-1-yne,1,STO-3G,MP2,-153.0248949966672,62001
but-1-yne,1,STO-3G,random,-153.0248949590479,146689
but-1-yne,1,STO-3G,zeroes,-153.0364013134578,91204
but-1-yne,1,aug-cc-pVDZ,CCSD,-154.9167852198252,74529
but-1-yne,1,aug-cc-pVDZ,ML,-154.9167852198347,95481
but-1-yne,1,aug-cc-pVDZ,ML_exact,-154.9167852919979,113569
but-1-yne,1,aug-cc-pVDZ,MP2,-154.9167852198252,101761
but-1-yne,1,aug-cc-pVDZ,random,-154.9167852198252,142129
but-1-yne,1,aug-cc-pVDZ,zeroes,-154.9168021315311,66564
but-1-yne,1,cc-pVDZ,CCSD,-154.911399473087,100489
but-1-yne,1,cc-pVDZ,ML,-154.9113885898945,119025
but-1-yne,1,cc-pVDZ,ML_exact,-154.9113938866502,146689
but-1-yne,1,cc-pVDZ,MP2,-154.9114195755557,83521
but-1-yne,1,cc-pVDZ,random,-154.9113882737653,152881
but-1-yne,1,cc-pVDZ,zeroes,-154.9139111922574,109561
but-1-yne,2,STO-3G,CCSD,-153.0248949590479,71289
but-1-yne,2,STO-3G,ML,-153.0248949590479,88209
but-1-yne,2,STO-3G,ML_exact,-153.0248949590479,74529
but-1-yne,2,STO-3G,MP2,-153.0248949590479,131769
but-1-yne,2,STO-3G,random,-153.0248949590479,109561
but-1-yne,2,STO-3G,zeroes,-153.038587469453,85849
but-1-yne,2,aug-cc-pVDZ,CCSD,-154.9167852198252,101761
but-1-yne,2,aug-cc-pVDZ,ML,-154.9167852198252,105625
but-1-yne,2,aug-cc-pVDZ,ML_exact,-154.9167852198252,156025
but-1-yne,2,aug-cc-pVDZ,MP2,-154.9167852198252,136161
but-1-yne,2,aug-cc-pVDZ,random,-154.9167852672314,113569
but-1-yne,2,aug-cc-pVDZ,zeroes,-154.9168732197047,85849
but-1-yne,2,cc-pVDZ,CCSD,-154.9114348352268,87025
but-1-yne,2,cc-pVDZ,ML,-154.9113882737653,76729
but-1-yne,2,cc-pVDZ,ML_exact,-154.9113882737653,83521
